id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
162,PARNA DA SERRA DA BOCAINA,PARNA,PARQUE NACIONAL DA SERRA DA BOCAINA,ICMBio Paraty,GR4,0000.00.0142,DEC 68.172. de 04/02/1971; DEC 70.694. de 08/06/1972,RJ;SP,MATA ATLANTICA,MATA ATLANTICA,106566.424788217
163,PARNA DA SERRA DA BODOQUENA,PARNA,PARQUE NACIONAL DA SERRA DA BODOQUENA,Gestao singular,GR3,0000.00.0143,DEC S/N. de 21/09/2000,MS,CERRADO,CERRADO,76973.5304348226
164,PARNA DA SERRA DA CANASTRA,PARNA,PARQUE NACIONAL DA SERRA DA CANASTRA,Gestao singular,GR4,0000.00.0144,DEC 70.355. de 03/04/1972,MG,CERRADO,CERRADO,197971.961301244
165,PARNA DA SERRA DA CAPIVARA,PARNA,PARQUE NACIONAL DA SERRA DA CAPIVARA,Gestao singular,GR2,0000.00.0145,DEC 83.548. de 05/06/1979; DEC 99.143. de 12/03/1990,PI,CAATINGA,CAATINGA,100764.193847997
166,PARNA DA SERRA DAS CONFUSOES,PARNA,PARQUE NACIONAL DA SERRA DAS CONFUSOES,Gestao singular,GR2,0000.00.0146,DEC S/N. de 02/10/1998; DEC S/N. de 30/12/2010,PI,CAATINGA,CAATINGA;CERRADO,823854.539000449
167,PARNA DA SERRA DAS LONTRAS,PARNA,PARQUE NACIONAL DA SERRA DAS LONTRAS,Gestao singular,GR2,0000.00.1909,DEC S/N. de 11/06/2010,BA,MATA ATLANTICA,MATA ATLANTICA,11343.8437114463
168,PARNA DA SERRA DO CIPO,PARNA,PARQUE NACIONAL DA SERRA DO CIPO,ICMBio Cipo-Pedreira,GR4,0000.00.0148,DEC 90.223. de 25/09/1984; DEC 94.984. de 30/09/1987,MG,CERRADO,CERRADO;MATA ATLANTICA,31639.5346512176
169,PARNA DA SERRA DO DIVISOR,PARNA,PARQUE NACIONAL DA SERRA DO DIVISOR,ICMBio Cruzeiro do Sul,GR1,0000.00.0149,DEC 97.839. de 16/06/1989,AC,AMAZONIA,AMAZONIA,837559.631069378
170,PARNA DA SERRA DO GANDARELA,PARNA,PARQUE NACIONAL DA SERRA DO GANDARELA,Gestao singular,GR4,0000.00.3136,DEC S/N. de 13/10/2014,MG,MATA ATLANTICA,MATA ATLANTICA,31270.8261040294
171,PARNA DA SERRA DO ITAJAI,PARNA,PARQUE NACIONAL DA SERRA DO ITAJAI,Gestao singular,GR5,0000.00.0150,DEC S/N. de 04/06/2004; DEC S/N. de 20/02/2006,SC,MATA ATLANTICA,MATA ATLANTICA,56918.1092256983
