id,TIPO_NOME,TIPO,Nome_UC,NGI,GR,CNUC,Atos_legais,UF,Bioma_predominante,Bioma_comp_RL,Area
0,APA ANHATOMIRIM,APA,AREA DE PROTECAO AMBIENTAL ANHATOMIRIM,ICMBio Florianopolis,GR5,0000.00.0001,DEC  528 de 20/05/1992,SC,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,4436.59022669087
1,APA BACIA DO RIO PARAIBA DO SUL,APA,AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL,ICMBio Rio Paraiba do Sul,GR4,0000.00.1521,DEC  87.561 de 13/09/1982,MG;RJ;SP,MATA ATLANTICA,MATA ATLANTICA,292599.924223634
2,APA CARSTE DE LAGOA SANTA,APA,AREA DE PROTECAO AMBIENTAL CARSTE DE LAGOA SANTA,Gestao singular,GR4,0000.00.0020,DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996,MG,CERRADO,CERRADO,37735.5772361922
3,APA CAVERNAS DO PERUACU,APA,AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU,ICMBio Peruacu,GR4,0000.00.0002,DEC  98.182 de 26/09/1989,MG,CERRADO,CAATINGA;CERRADO,143355.585707481
4,APA COSTA DAS ALGAS,APA,AREA DE PROTECAO AMBIENTAL COSTA DAS ALGAS,Gestao singular,GR4,0000.00.1912,DEC S/N de 17/06/2010,ES,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,115001.922234107
5,APA DA ARARINHA AZUL,APA,AREA DE PROTECAO AMBIENTAL DA ARARINHA AZUL,ICMBio Juazeiro,GR2,0000.00.3696,DEC 9.402 de 05/06/2018,BA,CAATINGA,CAATINGA,90641.9177311315
6,APA DA BACIA DO RIO DESCOBERTO,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO,ICMBio Descoberto-Brasilia,GR3,0000.00.0003,DEC  88.940 de 07/11/1983,GO;DF,CERRADO,CERRADO,41783.6139427218
7,APA DA BACIA DO RIO SAO BARTOLOMEU,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU,Gestao transferida ao Ibram,GR3,0000.00.0004,DEC  88.940 de 07/11/1983,DF,CERRADO,CERRADO,82680.8036275357
8,APA DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,APA,AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO JOAO/MICO-LEAO-DOURADO,ICMBio Mico-Leao-Dourado,GR4,0000.00.0005,DEC S/N de 27/06/2002,RJ,MATA ATLANTICA,MATA ATLANTICA,150374.606758412
9,APA DA BALEIA FRANCA,APA,AREA DE PROTECAO AMBIENTAL DA BALEIA FRANCA,Gestao singular,GR5,0000.00.0006,DEC S/N de 14/09/2000,SC,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,154867.403495803
10,APA DA BARRA DO RIO MAMANGUAPE,APA,AREA DE PROTECAO AMBIENTAL DA BARRA DO RIO MAMANGUAPE,ICMBio Mamanguape,GR2,0000.00.0007,DEC  924 de 10/09/1993; DEC S;N 7/04/1998,PB,MATA ATLANTICA,SISTEMA COSTEIRO-MARINHO;MATA ATLANTICA,14917.7912047074
11,APA DA CHAPADA DO ARARIPE,APA,AREA DE PROTECAO AMBIENTAL DA CHAPADA DO ARARIPE,Gestao singular,GR2,0000.00.0008,DEC S/N de 04/08/1997,PI;CE;PE,CAATINGA,CAATINGA,972605.181875277
12,APA DA COSTA DOS CORAIS,APA,AREA DE PROTECAO AMBIENTAL DA COSTA DOS CORAIS,ICMBio Costa dos Corais,GR2,0000.00.0009,DEC S/N de 23/10/1997,PE;AL,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,405642.397166475
13,APA DA REGIAO SERRANA DE PETROPOLIS,APA,AREA DE PROTECAO AMBIENTAL DA REGIAO SERRANA DE PETROPOLIS,ICMBio Serra Fluminense,GR4,0000.00.0010,DEC  87.561 de 13/09/1982; DEC  527 de 20/05/1992; LEI 14.452 de 21/09/2022; LEI 14.516 de 29/12/2022,RJ,MATA ATLANTICA,MATA ATLANTICA,58691.3157367364
14,APA DA SERRA DA MANTIQUEIRA,APA,AREA DE PROTECAO AMBIENTAL DA SERRA DA MANTIQUEIRA,ICMBio Mantiqueira,GR4,0000.00.0011,DEC  91.304 de 03/06/1985; LEI 9.097 de 19/09/1995,MG;RJ;SP,MATA ATLANTICA,MATA ATLANTICA,437525.100693198
15,APA DAS ILHAS E VARZEAS DO RIO PARANA,APA,AREA DE PROTECAO AMBIENTAL DAS ILHAS E VARZEAS DO RIO PARANA,ICMBio Rio Parana,GR5,0000.00.0025,DEC S/N de 30/09/1997,SP;PR;MS,MATA ATLANTICA,MATA ATLANTICA,1005188.38513746
16,APA DAS NASCENTES DO RIO VERMELHO,APA,AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO,ICMBio Mambai,GR3,0000.00.0028,DEC S/N de 27/09/2001,BA;GO,CERRADO,CERRADO,173968.869204272
17,APA DE CAIRUCU,APA,AREA DE PROTECAO AMBIENTAL DE CAIRUCU,ICMBio Paraty,GR4,0000.00.0013,DEC  89.242 de 27/12/1983,RJ;SP,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,32610.7779068594
18,APA DE CANANEIA-IGUAPE-PERUIBE,APA,AREA DE PROTECAO AMBIENTAL DE CANANEIA-IGUAPE-PERUIBE,ICMBio Iguape,GR4,0000.00.0014,DEC  90.347 de 23/10/1984; DEC  91.892 de 6/11/1985,SP,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,202309.580662312
19,APA DE FERNANDO DE NORONHA - ROCAS - SAO PEDRO E SAO PAULO,APA,AREA DE PROTECAO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SAO PEDRO E SAO PAULO,ICMBio Noronha,GR2,0000.00.0015,DEC 92.755 de 05/06/1986,PE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,154405.815628625
20,APA DE GUAPI-MIRIM,APA,AREA DE PROTECAO AMBIENTAL DE GUAPI-MIRIM,ICMBio Guanabara,GR4,0000.00.0016,DEC  90.225 de 25/09/1984,RJ,MATA ATLANTICA,MATA ATLANTICA,13890.5382226621
21,APA DE GUARAQUECABA,APA,AREA DE PROTECAO AMBIENTAL DE GUARAQUECABA,ICMBio Antonina-Guaraquecaba,GR5,0000.00.0017,DEC  90.883 de 31/01/1985,SP;PR,MATA ATLANTICA,MATA ATLANTICA,245642.072790916
22,APA DE PIACABUCU,APA,AREA DE PROTECAO AMBIENTAL DE PIACABUCU,Gestao singular,GR2,0000.00.0018,DEC  88.421 de 21/06/1983,AL,MATA ATLANTICA,MATA ATLANTICA,9107.00970851924
23,APA DELTA DO PARNAIBA,APA,AREA DE PROTECAO AMBIENTAL DELTA DO PARNAIBA,Gestao singular,GR2,0000.00.0019,DEC S/N de 28/08/1996,MA;PI;CE,CERRADO,CERRADO CAATINGA;SISTEMA COSTEIRO-MARINHO,309593.770698495
24,APA DO ARQUIPELAGO DE SAO PEDRO E SAO PAULO,APA,AREA DE PROTECAO AMBIENTAL DO ARQUIPELAGO DE SAO PEDRO E SAO PAULO,ICMBio Noronha,GR2,0000.00.3643,DEC 9.313 de 19/03/2018,PB,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,38450193.8156
25,APA DO ARQUIPELAGO DE TRINDADE E MARTIM VAZ,APA,AREA DE PROTECAO AMBIENTAL DO ARQUIPELAGO DE TRINDADE E MARTIM VAZ,ICMBio Grandes Unidades Oceanicas,GR2,0000.00.3633,DEC 9.312 de 19/03/2018,BA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,40385419.5828
26,APA DO BOQUEIRAO DA ONCA,APA,AREA DE PROTECAO AMBIENTAL DO BOQUEIRAO DA ONCA,ICMBio Juazeiro,GR2,0000.00.3655,DEC 9.337 de 05/04/2018,BA,CAATINGA,CAATINGA,505694.325504406
27,APA DO IBIRAPUITA,APA,AREA DE PROTECAO AMBIENTAL DO IBIRAPUITA,Gestao singular,GR5,0000.00.0021,DEC  529 de 20/05/1992,RS,PAMPA,PAMPA,316792.015353857
28,APA DO IGARAPE GELADO,APA,AREA DE PROTECAO AMBIENTAL DO IGARAPE GELADO,Gestao singular,GR1,0000.00.0022,DEC  97.718 de 05/05/1989,PA,AMAZONIA,AMAZONIA,23285.0865594345
29,APA DO PLANALTO CENTRAL,APA,AREA DE PROTECAO AMBIENTAL DO PLANALTO CENTRAL,Gestao singular,GR3,0000.00.0023,DEC S/N de 10/01/2002,GO;DF,CERRADO,CERRADO,503423.357674777
30,APA DO TAPAJOS,APA,AREA DE PROTECAO AMBIENTAL DO TAPAJOS,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0268,DEC S/N de 13/02/2006; LEI 12.678 de 25/06/2012,PA,AMAZONIA,AMAZONIA,2040336.83788011
31,APA DOS CAMPOS DE MANICORE,APA,AREA DE PROTECAO AMBIENTAL DOS CAMPOS DE MANICORE,ICMBio Humaita,GR1,0000.00.3407,DEC S/N de 11/05/2016,AM,AMAZONIA,AMAZONIA,152410.203190996
32,APA MEANDROS DO RIO ARAGUAIA,APA,AREA DE PROTECAO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA,ICMBio Meandros do Araguaia,GR3,0000.00.0024,DEC S/N de 02/10/1998,MT;GO,CERRADO,CERRADO,359194.092158573
33,APA MORRO DA PEDREIRA,APA,AREA DE PROTECAO AMBIENTAL MORRO DA PEDREIRA,ICMBio Cipo-Pedreira,GR4,0000.00.0027,DEC  98.891 de 26/01/1990,MG,CERRADO,CERRADO;MATA ATLANTICA,131770.839244673
34,APA SERRA DA IBIAPABA,APA,AREA DE PROTECAO AMBIENTAL SERRA DA IBIAPABA,Gestao singular,GR2,0000.00.0029,DEC S/N de 26/11/1996,PI;CE,CAATINGA,CAATINGA;CERRADO,1628740.51628208
35,APA SERRA DA MERUOCA,APA,AREA DE PROTECAO AMBIENTAL SERRA DA MERUOCA,Gestao singular,GR2,0000.00.1683,LEI 11.891 de 24/12/2008,CE,CAATINGA,CAATINGA,29361.7424260458
36,APA SERRA DA TABATINGA,APA,AREA DE PROTECAO AMBIENTAL SERRA DA TABATINGA,Gestao singular,GR2,0000.00.0012,DEC  99.278 de 06/06/1990; DEC S/N de 16/07/2002,MA;PI,CERRADO,CERRADO,41779.6077445611
37,ARIE BURITI DE VASSUNUNGA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO BURITI DE VASSUNUNGA,Gestao singular,GR4,0000.00.0030,DEC  99.276/1990,SP,MATA ATLANTICA,MATA ATLANTICA,150.97546922965
38,ARIE CAPETINGA - TAQUARA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO CAPETINGA - TAQUARA,Gestao transferida a UnB,GR3,0000.00.0031,DEC  91.303 de 03/06/1985,DF,CERRADO,CERRADO,2057.22603409516
39,ARIE CERRADO PE-DE-GIGANTE,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO CERRADO PE-DE-GIGANTE,Gestao singular,GR4,0000.00.0032,DEC  99.275 de 06/06/1990,SP,CERRADO,CERRADO,1199.05347454574
40,ARIE DA MATA DE SANTA GENEBRA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO DA MATA DE SANTA GENEBRA,Gestao singular,GR4,0000.00.0040,DEC  91.885 de 05/11/1985,SP,MATA ATLANTICA,MATA ATLANTICA,241.55362847111
41,ARIE FLORESTA DA CICUTA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO FLORESTA DA CICUTA,ICMBio Rio Paraiba do Sul,GR4,0000.00.0035,DEC  90.792 de 09/01/1985,RJ,MATA ATLANTICA,MATA ATLANTICA,125.14104613726
42,ARIE ILHA DO AMEIXAL,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO ILHA DO AMEIXAL,ICMBio Iguape,GR4,0000.00.0036,DEC  91.889 de 05/11/1985,SP,MATA ATLANTICA,MATA ATLANTICA,358.8880427192
43,ARIE ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE,ICMBio Iguape,GR4,0000.00.0037,DEC  91.887 de 05/11/1985,SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,65.17485952815
44,ARIE JAVARI-BURITI,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO JAVARI-BURITI,ICMBio Tefe,GR1,0000.00.0038,DEC  91.886 de 05/11/1985,AM,AMAZONIA,AMAZONIA,13177.1193302733
45,ARIE MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,ICMBio Mamanguape,GR2,0000.00.0039,DEC  91.890 de 05/11/1985,PB,MATA ATLANTICA,MATA ATLANTICA;SISTEMA COSTEIRO-MARINHO,5769.5403030043
46,ARIE MATAO DE COSMOPOLIS,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO MATAO DE COSMOPOLIS,Gestao singular,GR4,0000.00.0041,DEC  90.791 de 09/01/1985,SP,MATA ATLANTICA,MATA ATLANTICA,173.0894477412
47,ARIE PROJETO DINAMICA BIOLOGICA DE FRAGMENTOS FLORESTAIS,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO PROJETO DINAMICA BIOLOGICA DE FRAGMENTOS FLORESTAIS,Gestao singular,GR1,0000.00.0043,DEC  91.884 de 05/11/1985,AM,AMAZONIA,AMAZONIA,3336.32969700655
48,ARIE SERINGAL NOVA ESPERANCA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO SERINGAL NOVA ESPERANCA,ICMBio Chico Mendes,GR1,0000.00.0044,DEC S/N de 20/08/1999,AC,AMAZONIA,AMAZONIA,2573.98212851365
49,ARIE SERRA DA ABELHA/RIO DA PRATA,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO SERRA DA ABELHA,ICMBio Ibirama,GR5,0000.00.0045,DEC S/N de 28/05/1996,SC,MATA ATLANTICA,MATA ATLANTICA,5016.60404678123
50,ESEC ALTO MAUES,ESEC,ESTACAO ECOLOGICA ALTO MAUES,ICMBio Maues,GR1,0000.00.3131,DEC S/N de 16/10/2014,AM,AMAZONIA,AMAZONIA,665673.526737338
51,ESEC DA GUANABARA,ESEC,ESTACAO ECOLOGICA DA GUANABARA,ICMBio Guanabara,GR4,0000.00.0263,DEC S/N de 15/02/2006,RJ,MATA ATLANTICA,MATA ATLANTICA,1936.2474822603
52,ESEC DA MATA PRETA,ESEC,ESTACAO ECOLOGICA DA MATA PRETA,ICMBio Palmas,GR5,0000.00.0261,DEC S/N de 19/10/2005,PR;SC,MATA ATLANTICA,MATA ATLANTICA,6573.48021886372
53,ESEC DA SERRA DAS ARARAS,ESEC,ESTACAO ECOLOGICA DA SERRA DAS ARARAS,Gestao singular,GR3,0000.00.0075,DEC  87.222. de 31/05/1982.,MT,CERRADO,CERRADO,27159.7103623077
54,ESEC DA TERRA DO MEIO,ESEC,ESTACAO ECOLOGICA DA TERRA DO MEIO,ICMBio Terra do Meio,GR1,0000.00.0047,DEC S/N de 17/02/2005,PA,AMAZONIA,AMAZONIA,3373174.6754256
55,ESEC DE AIUABA,ESEC,ESTACAO ECOLOGICA DE AIUABA,Gestao singular,GR2,0000.00.0048,DEC S/N. de 06/02/2001,CE,CAATINGA,CAATINGA,11746.7834661228
56,ESEC DE ARACURI-ESMERALDA,ESEC,ESTACAO ECOLOGICA DE ARACURI-ESMERALDA,Gestao singular,GR5,0000.00.0050,DEC  86.061 de 2/6/1981.,RS,MATA ATLANTICA,MATA ATLANTICA,276.9791756189
57,ESEC DE CARIJOS,ESEC,ESTACAO ECOLOGICA DE CARIJOS,ICMBio Florianopolis,GR5,0000.00.0052,DEC 94.656. de 20/07/1987,SC,MATA ATLANTICA,MATA ATLANTICA,759.33712168767
58,ESEC DE CUNIA,ESEC,ESTACAO ECOLOGICA DE CUNIA,ICMBio Cunia-Jacunda,GR1,0000.00.0053,DEC S/N de 27/09/2001; DEC S/N de 21/12/2007; DEC S/N de 13/03/2008; LEI 12.249 de 11/06/2010,RO;AM,AMAZONIA,AMAZONIA,182601.287703067
59,ESEC DE GUARAQUECABA,ESEC,ESTACAO ECOLOGICA DE GUARAQUECABA,ICMBio Antonina-Guaraquecaba,GR5,0000.00.0054,DEC 87.222. de 31/05/1982; DEC  93.053. de 31/07/1986; LEI 9.513. de 20/11/1997,PR,MATA ATLANTICA,MATA ATLANTICA,4370.14585138591
60,ESEC DE JUTAI-SOLIMOES,ESEC,ESTACAO ECOLOGICA DE JUTAI-SOLIMOES,ICMBio Tefe,GR1,0000.00.0056,DEC  88.541. de 21/7/1983; Portaria 375. de 11/10/2001,AM,AMAZONIA,AMAZONIA,289514.171711224
61,ESEC DE MARACA,ESEC,ESTACAO ECOLOGICA DE MARACA,ICMBio Roraima,GR1,0000.00.0057,DEC  86.061. de 02/06/1981 e Decreto de ampliação de 11.684 de 05 /09/2023,RR,AMAZONIA,AMAZONIA,154221.726774172
62,ESEC DE MARACA-JIPIOCA,ESEC,ESTACAO ECOLOGICA DE MARACA-JIPIOCA,Gestao singular,GR1,0000.00.0058,DEC 86.061 de 02/06/1981,AP,AMAZONIA,AMAZONIA,58756.9503018265
63,ESEC DE MURICI,ESEC,ESTACAO ECOLOGICA DE MURICI,Gestao singular,GR2,0000.00.0059,DEC S/N. de 28/05/2001,AL,MATA ATLANTICA,MATA ATLANTICA,6131.62928796688
64,ESEC DE PIRAPITINGA,ESEC,ESTACAO ECOLOGICA DE PIRAPITINGA,Gestao singular,GR4,0000.00.0061,DEC 94.656. de 20/07/1987,MG,CERRADO,CERRADO,1384.5017566291299
65,ESEC DE TAIAMA,ESEC,ESTACAO ECOLOGICA DE TAIAMA,Gestao singular,GR3,0000.00.0062,DEC  86.061. de 02/06/1981,MT,PANTANAL,PANTANAL,11554.9824145128
66,ESEC DE TAMOIOS,ESEC,ESTACAO ECOLOGICA DE TAMOIOS,ICMBio Paraty,GR4,0000.00.0063,DEC  98.864. de 23/01/1990,RJ,MATA ATLANTICA,MATA ATLANTICA,8660.35333045951
67,ESEC DE URUCUI-UNA,ESEC,ESTACAO ECOLOGICA DE URUCUI-UNA,Gestao singular,GR2,0000.00.0065,DEC  86.061. de 02/06/1981,PI,CERRADO,CERRADO,129196.44369
68,ESEC DO CASTANHAO,ESEC,ESTACAO ECOLOGICA DO CASTANHAO,ICMBio Mossoro,GR2,0000.00.0066,DEC S/N. de 27/09/2001,CE,CAATINGA,CAATINGA,12574.6361241213
69,ESEC DO JARI,ESEC,ESTACAO ECOLOGICA DO JARI,Gestao singular,GR1,0000.00.0067,DEC  87.092. de 12/04/1982; DEC 89.440. de 13/03/1984,PA;AP,AMAZONIA,AMAZONIA,231082.093614046
70,ESEC DO SERIDO,ESEC,ESTACAO ECOLOGICA DO SERIDO,Gestao singular,GR2,0000.00.0069,DEC  87.222. de 31/05/1982,RN,CAATINGA,CAATINGA,1123.61233302188
71,ESEC DO TAIM,ESEC,ESTACAO ECOLOGICA DO TAIM,Gestao singular,GR5,0000.00.0070,DEC 92.963. de 21/07/1986; DEC S/N de 05/06/2003; DEC S/N de 05/06/2017,RS,PAMPA,PAMPA,32806.3137013928
72,ESEC DOS TUPINIQUINS,ESEC,ESTACAO ECOLOGICA DOS TUPINIQUINS,ICMBio Iguape,GR4,0000.00.0071,DEC 92.964. de 21/07/1986,SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,1727.71418054253
73,ESEC JUAMI-JAPURA,ESEC,ESTACAO ECOLOGICA JUAMI-JAPURA,ICMBio Tefe,GR1,0000.00.0072,DEC 91.307. de 03/06/1985,AM,AMAZONIA,AMAZONIA,831356.052579889
74,ESEC MICO-LEAO-PRETO,ESEC,ESTACAO ECOLOGICA MICO-LEAO-PRETO,Gestao singular,GR4,0000.00.0073,DEC S/N de 16/07/2002; DEC S/N de 14/05/2004,SP,MATA ATLANTICA,MATA ATLANTICA,6680.67407183598
75,ESEC DE NIQUIA,ESEC,ESTACAO ECOLOGICA NIQUIA,ICMBio Roraima,GR1,0000.00.0060,DEC 91.306. de 03/06/1985,RR,AMAZONIA,AMAZONIA,306394.549129356
76,ESEC RASO DA CATARINA,ESEC,ESTACAO ECOLOGICA RASO DA CATARINA,ICMBio Paulo Afonso,GR2,0000.00.0074,DEC 89.268. DE 03/01/1984; Portaria 373 de de 11/10/2001,BA,CAATINGA,CAATINGA,104726.642638961
77,ESEC RIO ACRE,ESEC,ESTACAO ECOLOGICA RIO ACRE,Gestao singular,GR1,0000.00.0068,DEC 86.061. de 02/06/1981,AC,AMAZONIA,AMAZONIA,79395.2178693262
78,ESEC TUPINAMBAS,ESEC,ESTACAO ECOLOGICA TUPINAMBAS,ICMBio Alcatrazes,GR4,0000.00.0064,DEC  94.656. de 20/07/1987,SP,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,2463.6150648706
79,ESEC SERRA GERAL DO TOCANTINS,ESEC,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,Gestao singular,GR3,0000.00.0076,DEC S/N. de 27/09/2001,BA;TO,CERRADO,CERRADO,707087.739605994
80,FLONA CONTENDAS DO SINCORA,FLONA,FLORESTA NACIONAL CONTENDAS DO SINCORA,ICMBio Sudoeste Baiano,GR2,0000.00.0081,DEC S/N. de 21/09/1999,BA,CAATINGA,CAATINGA,11215.9307646465
81,FLONA DA MATA GRANDE,FLONA,FLORESTA NACIONAL DA MATA GRANDE,ICMBio Mata Grande - Terra Ronca,GR3,0000.00.0128,DEC S/N. de 13/10/2003,GO,CERRADO,CERRADO,2010.07112900712
82,FLONA DA RESTINGA DE CABEDELO,FLONA,FLORESTA NACIONAL DA RESTINGA DE CABEDELO,ICMBio Cabedelo,GR2,0000.00.0132,DEC S/N. de 02/06/2004,PB,MATA ATLANTICA,MATA ATLANTICA,114.61833940158
83,FLONA DE ACU,FLONA,FLORESTA NACIONAL DE ACU,ICMBio Mossoro,GR2,0000.00.0082,Portaria 245 de 18/07/2001,RN,CAATINGA,CAATINGA,211.37833918861
84,FLONA DE ALTAMIRA,FLONA,FLORESTA NACIONAL DE ALTAMIRA,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0083,DEC  2.483. de 2/2/1998,PA,AMAZONIA,AMAZONIA,724973.936311297
85,FLONA DE ANAUA,FLONA,FLORESTA NACIONAL DE ANAUA,ICMBio Roraima,GR1,0000.00.0084,DEC S/N de 18/02/2005,RR,AMAZONIA,AMAZONIA,259402.989396955
86,FLONA DE ASSUNGUI,FLONA,FLORESTA NACIONAL DE ASSUNGUI,ICMBio Curitiba,GR5,0000.00.0077,Portaria 559 de 25/10/1968,PR,MATA ATLANTICA,MATA ATLANTICA,490.81157438938
87,FLONA DE BALATA-TUFARI,FLONA,FLORESTA NACIONAL DE BALATA-TUFARI,ICMBio Porto Velho,GR1,0000.00.0085,DEC S/N de 17/02/2005,AM,AMAZONIA,AMAZONIA,1088710.21000803
88,FLONA DE BRASILIA,FLONA,FLORESTA NACIONAL DE BRASILIA,ICMBio Descoberto-Brasilia,GR3,0000.00.0086,DEC S/N. de 10/06/1999; LEI  14.447. de 09/09/2022,DF,CERRADO,CERRADO,5622.79090231064
89,FLONA DE CACADOR,FLONA,FLORESTA NACIONAL DE CACADOR,Gestao singular,GR5,0000.00.0078,Portaria 560 de 25/10/1968,SC,MATA ATLANTICA,MATA ATLANTICA,706.53994335373
90,FLONA DE CANELA,FLONA,FLORESTA NACIONAL DE CANELA,Gestao singular,GR5,0000.00.0087,Portaria 561 de 25/10/1968,RS,MATA ATLANTICA,MATA ATLANTICA,563.52084188387
91,FLONA DE CAPAO BONITO,FLONA,FLORESTA NACIONAL DE CAPAO BONITO,Gestao singular,GR4,0000.00.0079,Portaria 558 de 25/10/1968,SP,CERRADO,MATA ATLANTICA;CERRADO,4236.79489299071
92,FLONA DE CARAJAS,FLONA,FLORESTA NACIONAL DE CARAJAS,Gestao singular,GR1,0000.00.0088,DEC  2.486. de 02/02/1998,PA,AMAZONIA,AMAZONIA,391263.03775645
93,FLONA DE CAXIUANA,FLONA,FLORESTA NACIONAL DE CAXIUANA,Gestao singular,GR1,0000.00.0089,DEC 236 de 28/11/1961,PA,AMAZONIA,AMAZONIA,317950.656689206
94,FLONA DE CHAPECO,FLONA,FLORESTA NACIONAL DE CHAPECO,Gestao singular,GR5,0000.00.0080,Portaria 560 de 25/10/1968,SC,MATA ATLANTICA,MATA ATLANTICA,1604.36103116453
95,FLONA DE CRISTOPOLIS,FLONA,FLORESTA NACIONAL DE CRISTOPOLIS,Gestao singular,GR2,0000.00.0090,DEC S/N de 18/05/2001,BA,CERRADO,CERRADO,12840.6921155096
96,FLONA DE GOYTACAZES,FLONA,FLORESTA NACIONAL DE GOYTACAZES,Gestao singular,GR4,0000.00.0091,DEC S/N de 05/06/2012,ES,MATA ATLANTICA,MATA ATLANTICA,1425.65276314119
97,FLONA DE HUMAITA,FLONA,FLORESTA NACIONAL DE HUMAITA,ICMBio Porto Velho,GR1,0000.00.0092,DEC  2.485. de 02/02/1998,AM,AMAZONIA,AMAZONIA,476589.499743174
98,FLONA DE IBIRAMA,FLONA,FLORESTA NACIONAL DE IBIRAMA,ICMBio Ibirama,GR5,0000.00.0093,DEC  95.818. de 11/03/1988,SC,MATA ATLANTICA,MATA ATLANTICA,519.34992589114
99,FLONA DE IPANEMA,FLONA,FLORESTA NACIONAL DE IPANEMA,Gestao singular,GR4,0000.00.0094,DEC  530. de 20/05/1992.,SP,MATA ATLANTICA,MATA ATLANTICA,5384.8253857202
100,FLONA DE IRATI,FLONA,FLORESTA NACIONAL DE IRATI,ICMBio Campos Gerais,GR5,0000.00.0125,Portaria 559 de 25/10/1968,PR,MATA ATLANTICA,MATA ATLANTICA,3802.51282846848
101,FLONA DE ITAITUBA I,FLONA,FLORESTA NACIONAL DE ITAITUBA I,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0095,DEC  2.481. de 02/02/1998; LEI 12.678. de 25/06/2012,PA,AMAZONIA,AMAZONIA,213104.944321167
102,FLONA DE ITAITUBA II,FLONA,FLORESTA NACIONAL DE ITAITUBA II,Unidade Especial Avancada - UNA Itaituba,GR1,0000.00.0096,DEC  2.482. de 02/02/1998; LEI 12.678. de 25/06/2012,PA,AMAZONIA,AMAZONIA,397760.25819534
103,FLONA DE JACUNDA,FLONA,FLORESTA NACIONAL DE JACUNDA,ICMBio Cunia-Jacunda,GR1,0000.00.0097,DEC S/N de 01/12/2004,RO,AMAZONIA,AMAZONIA,220809.207549053
104,FLONA DE LORENA,FLONA,FLORESTA NACIONAL DE LORENA,ICMBio Mantiqueira,GR4,0000.00.0098,Portaria 246 de 18/07/2001,SP,MATA ATLANTICA,MATA ATLANTICA,281.40898344178
105,FLONA DE MULATA,FLONA,FLORESTA NACIONAL DE MULATA,Gestao singular,GR1,0000.00.0099,DEC S/N de 01/08/2001,PA,AMAZONIA,AMAZONIA,215797.760649851
106,FLONA DE NISIA FLORESTA,FLONA,FLORESTA NACIONAL DE NISIA FLORESTA,Gestao singular,GR2,0000.00.0100,DEC S/N de 27/09/2001,RN,MATA ATLANTICA,MATA ATLANTICA,168.84329186369
