ind,UC,NGI,Incendio,Queima_prescrita,Queima_controlada,Aceiro,Fogo_natural,Indigena_isolado,Total_prevencao,Total_combate,Area_total,Area_UC,Perc_AAF_UC
113,RESEX ARAPIXI,Nucleo de Gestao Integrada - ICMBio Boca do Acre,16.77752489,0,0,0,0,0,0,16.77752489,16.77752489,133706,0.01
114,RESEX CHAPADA LIMPA,-,449.4512589,0,0,0,0,0,0,449.4512589,449.4512589,11973.1172,3.75
115,RESEX DA MATA GRANDE,Nucleo de Gestao Integrada - ICMBio Imperatriz,70.35686437,0,0,0,0,0,0,70.35686437,70.35686437,11431.5967,0.62
116,RESEX DE CANAVIEIRAS,Nucleo de Gestao Integrada - ICMBio Ilheus,39.42808491,0,0,0,0,0,0,39.42808491,39.42808491,100687.375,0.04
117,RESEX DE CASSURUBA,Nucleo de Gestao Integrada - ICMBio Abrolhos,542.6315077,0,0,0,0,0,0,542.6315077,542.6315077,100575.453,0.54
118,RESEX DE RECANTO DAS ARARAS DE TERRA RONCA,Nucleo de Gestao Integrada - ICMBio Mata Grande/Terra Ronca,657.0441604,0,0,0,0,0,0,657.0441604,657.0441604,12349.2422,5.32
119,RESEX DO ALTO JURUA,Nucleo de Gestao Integrada - ICMBio Cruzeiro do Sul,3.908764913,0,0,0,0,0,0,3.908764913,3.908764913,537945.562,0
120,RESEX DO CAZUMBA-IRACEMA,Nucleo de Gestao Integrada - ICMBio Sena Madureira,34.83638713,0,0,0,0,0,0,34.83638713,34.83638713,756926.562,0
121,RESEX DO RIO OURO PRETO,Nucleo de Gestao Integrada - ICMBio Guajara-Mirim,29.77001522,0,0,0,0,0,0,29.77001522,29.77001522,204630.531,0.01
122,RESEX MARINHA DA BAIA DO IGUAPE,-,1.935960328,0,0,0,0,0,0,1.935960328,1.935960328,10082.5166,0.02
123,RESEX RIO UNINI,Nucleo de Gestao Integrada - ICMBio Novo Airao,0.040187666,0,0,0,0,0,0,0.040187666,0.040187666,840515.938,0
124,RESEX RIO XINGU,Nucleo de Gestao Integrada - ICMBio Terra do Meio,23.67247956,0,0,0,0,0,0,23.67247956,23.67247956,302941.156,0.01
125,RESEX RIOZINHO DA LIBERDADE,Nucleo de Gestao Integrada - ICMBio Cruzeiro do Sul,2.252330327,0,0,0,0,0,0,2.252330327,2.252330327,324531.281,0
126,RESEX TAPAJOS-ARAPIUNS,-,1246.117478,0,0,0,0,0,0,1246.117478,1246.117478,677317.5,0.18
127,RESEX VERDE PARA SEMPRE,-,11050.26893,0,0,0,0,0,0,11050.26893,11050.26893,1289309.12,0.86
128,REVIS DAS VEREDAS DO OESTE BAIANO,Nucleo de Gestao Integrada - ICMBio Mambai,1927.242516,2964.196859,0,0,0,0,2964.196859,1927.242516,4891.439374,128049.789,3.82
129,REVIS DE BOA NOVA,Nucleo de Gestao Integrada - ICMBio Sudoeste Baiano,21.39650747,0,0,0,0,0,0,21.39650747,21.39650747,14833.4453,0.14
130,REVIS DE UNA,Nucleo de Gestao Integrada - ICMBio Ilheus,102.5190153,0,0,0,0,0,0,102.5190153,102.5190153,23261.9512,0.44
131,REVIS DOS CAMPOS DE PALMAS,Nucleo de Gestao Integrada - ICMBio Palmas,545.4264869,0,1939.85478,0,0,0,1939.85478,545.4264869,2485.281266,16594.1699,14.98
